id,image_path,question,model_answer,correct_answer
92131a937c,images/Amharic/92131a937c.jpg,የዚህ ቤተ ክርስቲያን ስም ማን ይባላል?,ኤርትራ,ቅድስት ሥላሴ ካቴድራል፣
816e754a6a,images/Amharic/816e754a6a.jpg,ይህች ልጅ በእጇ የያዘችው ምንድን ነው?,እጅብ,መቆሚያ
d03dc32760,images/Amharic/d03dc32760.jpg,የለበሰችው ነጭ ልብስ ምንድን ነው?,አንሰር,ነጠላ
0923312765,images/Amharic/0923312765.jpg,የዚህ ምግብ ስም ምን ይባላል?,ካህን,እንጀራ
4f70a49a58,images/Amharic/4f70a49a58.jpg,የዚህ ምግብ ጣዕም ምንድነው?,ምግብ ስም,ጎምዛዛ
b795cb3ea8,images/Amharic/b795cb3ea8.jpg,ይህ ምግብ ከምን የተሠራ ነው?,አንሰር,ጤፍ
b305e7454b,images/Amharic/b305e7454b.jpg,ይህንን የመኪና ታርጋ የሚሰጠው የትኛው ክልል ነው?,ማህበር,ኦሮምያ
6db30d292e,images/Amharic/6db30d292e.jpg,የዚህ ልብስ ስም ምን ይባላል?,ካህን,ጋቢ
5d7c5693fe,images/Amharic/5d7c5693fe.jpg,ይህ ልብስ ከምን የተሠራ ነው?,ካህን,ጥጥ
22d68304fc,images/Amharic/22d68304fc.jpg,ይህ የመኪና ታርጋ የሚሰጠው በየትኛው ከተማ ነው?,blue,አዲስ አበባ
c9358b413c,images/Amharic/c9358b413c.jpg,ይህ መኪና በተለምዶ ምን ይባላል?,ካህን,ላዳ
3d0eee07ef,images/Amharic/3d0eee07ef.jpg,የዚህ ቡና ቤት ባለቤት ማን ነው?,ኤርትት,ፀደይ አስራት፣
4361aaac8e,images/Amharic/4361aaac8e.jpg,የዚህ ቡና ቤት ስም ማን ይባላል?,ኤርትት,ካልዲ
dd871e00f0,images/Amharic/dd871e00f0.jpg,በምስሉ ላይ ይህ መጠጥ ምንድነው?,ማስተወስብ,ቡና
c9871fe0bf,images/Amharic/c9871fe0bf.jpg,ከሲኒው ቀጥሎ ያለው እቃ ምን ጥቅም አለው?,ማስታወቂ,ዕጣን ማጨስ
cb53528006,images/Amharic/cb53528006.jpg,ይህ አካባቢ ምን ይባላል?,ክርስቲያን,መገናኛ
7a7da8f0ed,images/Amharic/7a7da8f0ed.jpg,ይህ ቀለበት የተሠራው በየትኛው በዓል ነው?,እንደ ማስተሰራ,ሆሳዕና
2e4beac6e6,images/Amharic/2e4beac6e6.jpg,የዚህ ሆቴል ባለቤት ማነው?,አንሸር,የኢትዮጵያ አየር መንገድ
c7db2d3c9b,images/Amharic/c7db2d3c9b.jpg,የዚህ ሆቴል ስም ማን ይባላል?,ኤርባንታ,ስካይላይት
a846a86e4d,images/Amharic/a846a86e4d.jpg,የዚህ ቤተ ክርስቲያን ስም ማን ይባላል?,ኤርባንታ,ቦሌ መድሀኒአለም
6f2682a969,images/Amharic/6f2682a969.jpg,በዚህ ቤተክርስቲያን አቅራቢያ የትኛው ታዋቂ የገበያ ማዕከል ይገኛል?,አቅራቢያ የአማርኛ እንደምርጥት እንደምርጥት አቅርባ ነው,ኤድና ሞል
